id_transaksi,tanggal,jenis_transaksi,nama_barang,gudang_asal,gudang_tujuan,jumlah_masuk,jumlah_keluar,jumlah_rusak,jumlah_hilang,jumlah_ketemu,harga_satuan,total_transaksi,metode_pembayaran,status_transaksi,catatan
TRX0001,2025-01-03,restock,Botol 250ml,,Gudang A,303,0,0,0,0,1500,454500,transfer,selesai,Restock otomatis ke Gudang A
TRX0002,2025-01-03,penjualan,Botol 250ml,Gudang A,,0,56,0,1,0,1800,100800,transfer,selesai,Penjualan otomatis dari Gudang A
TRX0003,2025-01-03,stok_adjustment,Botol 600ml,Gudang D,,0,0,0,0,6,0,0,none,selesai,Penyesuaian: barang ketemu saat stok opname
TRX0004,2025-01-04,restock,Botol 500ml,,Gudang D,347,0,0,0,0,2000,694000,cash,selesai,Restock otomatis ke Gudang D
TRX0005,2025-01-04,restock,Botol 1500ml,,Gudang C,391,0,0,0,0,3500,1368500,cash,selesai,Restock otomatis ke Gudang C
TRX0006,2025-01-04,penjualan,Botol 1500ml,Gudang C,,0,78,0,0,0,3800,296400,cash,pending,Penjualan otomatis dari Gudang C
TRX0007,2025-01-05,restock,Botol 330ml,,Gudang C,251,0,0,0,0,1700,426700,transfer,selesai,Restock otomatis ke Gudang C
TRX0008,2025-01-05,restock,Botol 250ml,,Gudang D,313,0,0,0,0,1500,469500,transfer,selesai,Restock otomatis ke Gudang D
TRX0009,2025-01-05,penjualan,Botol 330ml,Gudang C,,0,90,5,0,0,1900,171000,non-cash,selesai,Penjualan otomatis dari Gudang C
TRX0010,2025-01-05,pindah_gudang,Botol 1500ml,Gudang C,Gudang D,93,93,0,0,0,3500,0,internal,selesai,Pindah stok dari Gudang C ke Gudang D
TRX0011,2025-01-06,restock,Botol 750ml,,Gudang B,327,0,0,0,0,2600,850200,cash,selesai,Restock otomatis ke Gudang B
TRX0012,2025-01-06,penjualan,Botol 1500ml,Gudang D,,0,12,0,1,0,3500,42000,tempo,batal,Penjualan otomatis dari Gudang D
TRX0013,2025-01-07,penjualan,Botol 250ml,Gudang D,,0,14,1,0,0,1800,25200,non-cash,selesai,Penjualan otomatis dari Gudang D
TRX0014,2025-01-07,penjualan,Botol 750ml,Gudang B,,0,36,1,0,0,2800,100800,non-cash,selesai,Penjualan otomatis dari Gudang B
TRX0015,2025-01-07,penjualan,Botol 1500ml,Gudang C,,0,33,0,0,0,3500,115500,cash,selesai,Penjualan otomatis dari Gudang C
TRX0016,2025-01-07,pindah_gudang,Botol 500ml,Gudang D,Gudang C,94,94,0,0,0,2000,0,internal,selesai,Pindah stok dari Gudang D ke Gudang C
TRX0017,2025-01-07,pindah_gudang,Botol 1500ml,Gudang C,Gudang B,52,52,0,0,0,3500,0,internal,selesai,Pindah stok dari Gudang C ke Gudang B
TRX0018,2025-01-08,restock,Botol 750ml,,Gudang B,141,0,0,0,0,2600,366600,transfer,selesai,Restock otomatis ke Gudang B
TRX0019,2025-01-08,restock,Botol 600ml,,Gudang B,111,0,0,0,0,2200,244200,transfer,selesai,Restock otomatis ke Gudang B
TRX0020,2025-01-08,penjualan,Botol 250ml,Gudang D,,0,38,0,0,0,1800,68400,cash,selesai,Penjualan otomatis dari Gudang D
TRX0021,2025-01-08,penjualan,Botol 500ml,Gudang C,,0,31,0,0,0,2000,62000,tempo,selesai,Penjualan otomatis dari Gudang C
TRX0022,2025-01-08,penjualan,Botol 750ml,Gudang B,,0,23,0,0,0,2800,64400,transfer,selesai,Penjualan otomatis dari Gudang B
TRX0023,2025-01-08,penjualan,Botol 1500ml,Gudang B,,0,13,0,1,0,3700,48100,cash,selesai,Penjualan otomatis dari Gudang B
TRX0024,2025-01-08,penjualan,Botol 750ml,Gudang B,,0,69,0,0,0,2600,179400,non-cash,selesai,Penjualan otomatis dari Gudang B
TRX0025,2025-01-08,penjualan,Botol 500ml,Gudang D,,0,31,0,0,0,2300,71300,transfer,selesai,Penjualan otomatis dari Gudang D
TRX0026,2025-01-09,restock,Botol 500ml,,Gudang A,379,0,0,0,0,2000,758000,cash,selesai,Restock otomatis ke Gudang A
TRX0027,2025-01-09,restock,Botol 500ml,,Gudang C,315,0,0,0,0,2000,630000,transfer,selesai,Restock otomatis ke Gudang C
TRX0028,2025-01-09,restock,Botol 500ml,,Gudang B,263,0,0,0,0,2000,526000,transfer,selesai,Restock otomatis ke Gudang B
TRX0029,2025-01-09,penjualan,Botol 1500ml,Gudang B,,0,11,0,0,0,3800,41800,non-cash,selesai,Penjualan otomatis dari Gudang B
TRX0030,2025-01-09,penjualan,Botol 1500ml,Gudang B,,0,10,1,0,0,3700,37000,tempo,selesai,Penjualan otomatis dari Gudang B
TRX0031,2025-01-09,penjualan,Botol 750ml,Gudang B,,0,13,1,0,0,2900,37700,non-cash,selesai,Penjualan otomatis dari Gudang B
TRX0032,2025-01-09,pindah_gudang,Botol 500ml,Gudang B,Gudang D,134,134,0,0,0,2000,0,internal,selesai,Pindah stok dari Gudang B ke Gudang D
TRX0033,2025-01-09,pindah_gudang,Botol 500ml,Gudang D,Gudang C,166,166,0,0,0,2000,0,internal,selesai,Pindah stok dari Gudang D ke Gudang C
TRX0034,2025-01-10,restock,Botol 500ml,,Gudang B,104,0,0,0,0,2000,208000,cash,selesai,Restock otomatis ke Gudang B
TRX0035,2025-01-10,restock,Botol 250ml,,Gudang D,299,0,0,0,0,1500,448500,cash,selesai,Restock otomatis ke Gudang D
TRX0036,2025-01-10,penjualan,Botol 750ml,Gudang B,,0,40,0,0,0,2600,104000,transfer,selesai,Penjualan otomatis dari Gudang B
TRX0037,2025-01-10,penjualan,Botol 250ml,Gudang D,,0,42,0,0,0,1700,71400,cash,selesai,Penjualan otomatis dari Gudang D
TRX0038,2025-01-10,penjualan,Botol 600ml,Gudang B,,0,14,0,0,0,2400,33600,tempo,selesai,Penjualan otomatis dari Gudang B
TRX0039,2025-01-10,penjualan,Botol 750ml,Gudang B,,0,41,2,0,0,2600,106600,transfer,selesai,Penjualan otomatis dari Gudang B
TRX0040,2025-01-10,pindah_gudang,Botol 330ml,Gudang C,Gudang D,31,31,0,0,0,1700,0,internal,selesai,Pindah stok dari Gudang C ke Gudang D
TRX0041,2025-01-11,penjualan,Botol 600ml,Gudang B,,0,38,3,0,0,2200,83600,non-cash,selesai,Penjualan otomatis dari Gudang B
TRX0042,2025-01-11,penjualan,Botol 330ml,Gudang D,,0,11,0,0,0,1700,18700,cash,selesai,Penjualan otomatis dari Gudang D
TRX0043,2025-01-11,penjualan,Botol 330ml,Gudang C,,0,61,5,0,0,1700,103700,cash,pending,Penjualan otomatis dari Gudang C
TRX0044,2025-01-11,penjualan,Botol 330ml,Gudang C,,0,19,0,0,0,1700,32300,tempo,selesai,Penjualan otomatis dari Gudang C
TRX0045,2025-01-11,penjualan,Botol 250ml,Gudang D,,0,29,0,0,0,1800,52200,non-cash,selesai,Penjualan otomatis dari Gudang D
